"Close","Close"
"Enable Extension","Enable Extension"
"Login Form","Login Form"
"Login Success Page","Login Success Page"
"Logout Success Page","Logout Success Page"
"Registration form","Registration form"
"Display Newsletter Subscription Section","Display Newsletter Subscription Section"
"Display Terms and Conditions","Display Terms and Conditions"
"Registration Success Page","Registration Success Page"
"Stay on current","Stay on current"
"Specified URL ...","Specified URL ..."
"Password Recovery form","Password Recovery form"
"Password Request Success Page","Password Request Success Page"
"Login with Facebook Account","Login with Facebook Account "
"Allow Authorization with Facebook Account","Allow Authorization with Facebook Account"
"Application ID","Application ID"
"Application Secret","Application Secret"
"Login with LinkedIn Account","Login with LinkedIn Account"
"API Key","API Key"
"Secret Key","Secret Key"
"Login with Google Account","Login with Google Account"
"Allow Authorization with Google Account","Allow Authorization with Google Account"
"Client ID","Client ID"
"Client Secret","Client Secret"
"What's this?","What's this?"
"OK, I got it","OK, I got it"
"I accept","I accept"
"Accept","Accept"